date,open,high,low,close,volume
2025-01-02,45200,45400,45000,45200,1965822
2025-01-03,45200,45400,44300,44500,614977
2025-01-06,44500,45000,43300,43800,1768364
2025-01-07,43800,44500,42800,43500,2092361
2025-01-08,43500,44400,43300,44200,2109106
2025-01-09,44200,44200,43400,43400,2310425
2025-01-10,43400,44000,43300,43900,1925781
2025-01-13,43900,44500,43900,44500,2353777
2025-01-14,44500,44900,43900,44300,2329597
2025-01-15,44300,44500,43700,43900,1550517
2025-01-16,43900,44200,43900,44200,1599072
2025-01-17,44200,44800,44200,44800,2223151
2025-01-20,44800,46100,44600,45900,2134421
2025-01-21,45900,46700,45600,46400,2086764
2025-01-22,46400,47800,45900,47300,1767612
2025-01-23,47300,47500,46800,47000,2915336
2025-01-24,47000,47000,46500,46500,1737373
2025-01-27,46500,46500,45500,45500,2063990
2025-01-28,45500,45700,44700,44900,1689694
2025-01-29,44900,45500,44100,44700,1327734
2025-01-30,44700,45100,44400,44800,1277968
2025-01-31,44800,44900,43900,44000,2112060
2025-02-03,44000,44600,43900,44500,1204559
2025-02-04,44500,44600,44300,44400,1876278
2025-02-05,44400,44800,43600,44000,1866788
2025-02-06,44000,44300,43300,43600,1515393
2025-02-07,43600,44900,43400,44700,2169100
2025-02-10,44700,45000,44400,44700,1655321
2025-02-11,44700,44800,44100,44200,2264080
2025-02-12,44200,44600,43300,43700,1340743
2025-02-13,43700,45100,43300,44700,1933841
2025-02-14,44700,45100,44000,44400,2273611
2025-02-17,44400,45200,44200,45000,1817104
2025-02-18,45000,45800,44900,45700,1967878
2025-02-19,45700,46200,43900,44400,1824499
2025-02-20,44400,45300,44200,45100,2940158
2025-02-21,45100,45400,44700,45000,1800339
2025-02-24,45000,45000,44400,44400,1228348
2025-02-25,44400,44700,43800,44100,2278325
2025-02-26,44100,44400,44100,44400,1825864
2025-02-27,44400,44700,44300,44600,1007380
2025-02-28,44600,44900,44500,44800,1240523
2025-03-03,44800,45100,44100,44400,1978601
2025-03-04,44400,45400,44100,45100,1409887
2025-03-05,45100,46300,44700,45900,2595034
2025-03-06,45900,47000,45800,46900,1765991
2025-03-07,46900,47500,46800,47400,1620078
2025-03-10,47400,48800,47100,48500,2090852
2025-03-11,48500,50000,48200,49700,1576119
2025-03-12,49700,50200,49600,50100,1521492
2025-03-13,50100,50900,49800,50600,1366249
2025-03-14,50600,51500,50100,50900,2207398
2025-03-17,50900,51400,50800,51300,1831881
2025-03-18,51300,52500,50600,51800,1583018
2025-03-19,51800,52000,50500,50700,1194933
2025-03-20,50700,50900,50300,50500,2111466
2025-03-21,50500,50900,50400,50800,1157553
2025-03-24,50800,51400,49000,49500,1948855
2025-03-25,49500,49800,48300,48600,2101537
2025-03-26,48600,49600,48500,49500,1653595
2025-03-27,49500,49500,48900,48900,2131925
2025-03-28,48900,48900,48600,48600,1372552
2025-03-31,48600,48900,48500,48800,1638264
2025-04-01,48800,48900,48400,48500,2050059
2025-04-02,48500,48600,47900,48000,2248812
2025-04-03,48000,48100,47600,47700,1593393
2025-04-04,47700,47800,47300,47400,1963780
2025-04-07,47400,47700,46800,47100,1636592
2025-04-08,47100,47400,46800,47100,1452510
2025-04-09,47100,48100,47000,48000,2865947
2025-04-10,48000,48300,47900,48200,1911660
2025-04-11,48200,49200,48200,49200,1720826
2025-04-14,49200,49600,49200,49600,2662302
2025-04-15,49600,50200,49500,50100,2505129
2025-04-16,50100,50600,49900,50400,1416121
2025-04-17,50400,50600,50000,50200,1596225
2025-04-18,50200,50800,49800,50400,2304065
2025-04-21,50400,50700,50300,50600,2031744
2025-04-22,50600,51000,49500,49900,2004144
2025-04-23,49900,50600,49700,50400,2866641
