date,open,high,low,close,volume
2025-01-02,37600,37850,37350,37600,9021616
2025-01-03,37600,37750,37350,37500,13355898
2025-01-06,37500,37850,37300,37650,9262583
2025-01-07,37650,37750,37550,37650,10713215
2025-01-08,37650,37750,37200,37300,10158341
2025-01-09,37300,37600,37250,37550,8906105
2025-01-10,37550,37600,37500,37550,9700746
2025-01-13,37550,37750,37500,37700,9688554
2025-01-14,37700,38150,37700,38150,11069351
2025-01-15,38150,38450,37900,38200,8831451
2025-01-16,38200,38300,37900,38000,8489846
2025-01-17,38000,38050,37800,37850,5274293
2025-01-20,37850,38100,37850,38100,7902901
2025-01-21,38100,38200,37700,37800,8717664
2025-01-22,37800,38000,37650,37850,10733673
2025-01-23,37850,38000,37800,37950,8265437
2025-01-24,37950,38000,37650,37700,7982912
2025-01-27,37700,37850,37600,37750,7833741
2025-01-28,37750,37950,37700,37900,7187493
2025-01-29,37900,38100,37550,37750,8183724
2025-01-30,37750,37750,37650,37650,7041686
2025-01-31,37650,37850,37600,37800,7216374
2025-02-03,37800,37900,37400,37500,4388570
2025-02-04,37500,37700,37100,37300,9383596
2025-02-05,37300,37650,37200,37550,5213151
2025-02-06,37550,37600,37550,37600,9371703
2025-02-07,37600,38000,36900,37300,6718281
2025-02-10,37300,37400,37200,37300,6584976
2025-02-11,37300,37850,37200,37750,11296984
2025-02-12,37750,37800,37350,37400,12358023
2025-02-13,37400,37900,37100,37600,7902399
2025-02-14,37600,37850,37550,37800,8518392
2025-02-17,37800,37900,37700,37800,7914758
2025-02-18,37800,38000,37750,37950,6071498
2025-02-19,37950,37950,37800,37800,10764308
2025-02-20,37800,38300,37650,38150,7797112
2025-02-21,38150,38700,38000,38550,9828812
2025-02-24,38550,38550,38400,38400,11069842
2025-02-25,38400,38450,38300,38350,5675826
2025-02-26,38350,38500,38250,38400,8309755
2025-02-27,38400,38550,38100,38250,10596118
2025-02-28,38250,38700,37900,38350,4542442
2025-03-03,38350,38350,38150,38150,7287922
2025-03-04,38150,38600,37850,38300,7776010
2025-03-05,38300,38500,38050,38250,10408016
2025-03-06,38250,38350,38150,38250,9622606
2025-03-07,38250,38500,38100,38350,8563942
2025-03-10,38350,38850,38100,38600,7385527
2025-03-11,38600,38900,38050,38350,12432642
2025-03-12,38350,38600,38300,38550,9490495
2025-03-13,38550,38800,38550,38800,6882695
2025-03-14,38800,38950,38650,38800,11849719
2025-03-17,38800,39250,38700,39150,9620757
2025-03-18,39150,39150,39000,39000,6892010
2025-03-19,39000,39100,38750,38850,5736271
2025-03-20,38850,39050,38800,39000,6958148
2025-03-21,39000,39100,38750,38850,7497958
2025-03-24,38850,39350,38650,39150,12517234
2025-03-25,39150,39450,38950,39250,11561369
2025-03-26,39250,39700,39200,39650,8282240
2025-03-27,39650,39750,39300,39400,9728611
2025-03-28,39400,39650,38950,39200,6536004
2025-03-31,39200,39900,38850,39550,7709380
2025-04-01,39550,39700,39150,39300,9750894
2025-04-02,39300,39750,39150,39600,8180977
2025-04-03,39600,39750,39250,39400,12931921
2025-04-04,39400,39650,39250,39500,11226233
2025-04-07,39500,39750,39500,39750,8147424
2025-04-08,39750,39800,39750,39800,6539721
2025-04-09,39800,39950,39350,39500,9677957
2025-04-10,39500,39650,39250,39400,7255106
2025-04-11,39400,39900,39200,39700,13035231
2025-04-14,39700,39900,39550,39750,11003800
2025-04-15,39750,40000,39700,39950,9194072
2025-04-16,39950,40100,39850,40000,2671670
2025-04-17,40000,40100,39950,40050,9487841
2025-04-18,40050,40200,39900,40050,6291774
2025-04-21,40050,40200,39650,39800,7771774
2025-04-22,39800,40150,39600,39950,8398979
2025-04-23,39950,40150,39800,40000,8950375
