date,open,high,low,close,volume
2025-01-02,72000,72300,71700,72000,11300000
2025-01-03,72000,72300,71300,71600,10720000
2025-01-06,71600,71900,70900,71200,10640000
2025-01-07,71200,71500,70500,70800,10560000
2025-01-08,70800,71100,70100,70400,10480000
2025-01-09,70400,70700,69700,70000,10400000
2025-01-10,70000,70300,69300,69600,10320000
2025-01-13,69600,69900,68900,69200,10240000
2025-01-14,69200,69500,68500,68800,10160000
2025-01-15,68800,69100,68100,68400,10080000
2025-01-16,68400,68700,67700,68000,10000000
2025-01-17,68000,68900,67700,68600,10620000
2025-01-20,68600,69700,68300,69400,10780000
2025-01-21,69400,70700,69100,70400,10980000
2025-01-22,70400,71900,70100,71600,11220000
2025-01-23,71600,73100,71300,72800,11460000
2025-01-24,72800,73900,72500,73600,11620000
2025-01-27,73600,74300,73300,74000,11700000
2025-01-28,74000,74500,73700,74200,11740000
2025-01-29,74200,74500,73700,74000,11200000
2025-01-30,74000,74300,73300,73600,11120000
2025-01-31,73600,73900,72700,73000,11000000
2025-02-03,73000,73300,71900,72200,10840000
2025-02-04,72200,72500,71100,71400,10680000
2025-02-05,71400,71700,70300,70600,10520000
2025-02-06,70600,70900,69700,70000,10400000
2025-02-07,70000,70300,69300,69600,10320000
2025-02-10,69600,69900,69100,69400,10280000
2025-02-11,69400,69900,69100,69600,10820000
2025-02-12,69600,70500,69300,70200,10940000
2025-02-13,70200,71500,69900,71200,11140000
2025-02-14,71200,72700,70900,72400,11380000
2025-02-17,72400,73900,72100,73600,11620000
2025-02-18,73600,74900,73300,74600,11820000
2025-02-19,74600,75500,74300,75200,11940000
2025-02-20,75200,75700,74900,75400,11980000
2025-02-21,75400,75700,74900,75200,11440000
2025-02-24,75200,75500,74500,74800,11360000
2025-02-25,74800,75100,73900,74200,11240000
2025-02-26,74200,74500,73300,73600,11120000
2025-02-27,73600,73900,72900,73200,11040000
2025-02-28,73200,73500,72500,72800,10960000
2025-03-03,72800,73100,72300,72600,10920000
2025-03-04,72600,73100,72300,72800,11460000
2025-03-05,72800,73700,72500,73400,11580000
2025-03-06,73400,74500,73100,74200,11740000
2025-03-07,74200,75300,73900,75000,11900000
2025-03-10,75000,75900,74700,75600,12020000
2025-03-11,75600,76300,75300,76000,12100000
2025-03-12,76000,76500,75700,76200,12140000
2025-03-13,76200,76500,75700,76000,11600000
2025-03-14,76000,76300,75100,75400,11480000
2025-03-17,75400,75700,74300,74600,11320000
2025-03-18,74600,74900,73500,73800,11160000
2025-03-19,73800,74100,72900,73200,11040000
2025-03-20,73200,73500,72500,72800,10960000
2025-03-21,72800,73100,72300,72600,10920000
2025-03-24,72600,73100,72300,72800,11460000
2025-03-25,72800,73700,72500,73400,11580000
2025-03-26,73400,74700,73100,74400,11780000
2025-03-27,74400,75700,74100,75400,11980000
2025-03-28,75400,76500,75100,76200,12140000
2025-03-31,76200,77100,75900,76800,12260000
2025-04-01,76800,77500,76500,77200,12340000
2025-04-02,77200,77700,76900,77400,12380000
2025-04-03,77400,77700,76900,77200,11840000
2025-04-04,77200,77500,76500,76800,11760000
2025-04-07,76800,77100,75900,76200,11640000
2025-04-08,76200,76500,75300,75600,11520000
2025-04-09,75600,75900,74900,75200,11440000
2025-04-10,75200,75500,74700,75000,11400000
2025-04-11,75000,75500,74700,75200,11940000
2025-04-14,75200,76100,74900,75800,12060000
2025-04-15,75800,76900,75500,76600,12220000
2025-04-16,76600,77700,76300,77400,12380000
2025-04-17,77400,78300,77100,78000,12500000
2025-04-18,78000,78300,77300,77600,11920000
2025-04-21,77600,77900,76700,77000,11800000
2025-04-22,77000,77300,76100,76400,11680000
2025-04-23,76400,76700,75700,76000,11600000
