20260128,164796,165385,163814,164592,802028
20260129,164612,164797,163828,164697,565755
20260130,163723,164247,162969,163368,818867
20260202,163219,164182,162025,162739,1148048
20260203,165990,166035,165291,165446,727467
20260204,162385,162869,162315,162674,1100660
20260205,161781,162010,160732,161910,1197307
20260206,157816,159369,157326,159214,1737480
20260209,163134,163428,161945,161945,851450
20260210,163004,163234,162035,162804,449596
20260211,162540,162634,161646,161646,438489
20260212,161186,161561,160687,160987,392945
20260213,158585,158585,157276,157496,882044
20260219,159898,160158,159479,159479,633294
20260220,159284,159459,159084,159279,652196
20260223,159034,159034,157841,157951,716493
20260224,157981,158901,157971,158105,796935
20260225,159304,159723,157961,158045,856708
20260226,159384,159818,158550,159399,1117010
20260227,158085,158899,157856,158839,1204494
20260303,160972,161346,160098,160472,1484943
20260304,160472,161786,158839,160008,1138867
20260305,162829,163114,161741,162225,693136
20260306,163783,164102,163059,163803,706178
20260309,159788,160457,158645,160457,960398
20260310,161746,162834,161416,162155,565191
20260311,162834,163383,161890,162250,438194
20260312,162210,162669,161751,162310,423969
20260313,161611,162320,161186,162175,413204
20260316,162010,162574,161651,162510,406591
20260317,162564,162744,162015,162140,517353
20260318,162964,164028,162954,163838,583939
20260319,162280,162485,161656,161940,923240
20260320,161022,161890,160507,161631,478808
20260323,158605,159329,158240,159189,1212907
20260324,160063,160203,158964,159603,823589
20260325,159808,160667,159673,160198,435481
20260326,160357,161331,160312,160592,456570
20260327,158375,158650,157536,158550,429216
20260330,153911,155524,153447,155524,855064
20260331,153876,157346,153676,156747,1322269
20260401,159359,159588,158607,159159,1009257
20260402,160692,160847,158730,158914,627794
20260403,160842,160847,159933,159948,243496
20260406,159953,160937,159953,160397,988285
20260407,161136,161256,160088,160302,710017
20260408,163039,163400,162370,162879,1014242
20260409,162929,163274,162619,163169,459243
20260410,163678,164851,163543,164532,676561
20260413,164347,164592,163883,164462,707844
20260414,166429,167203,166230,166654,695561
20260415,168352,168846,168257,168527,732171
20260416,171173,171767,170714,171767,687685
20260417,172691,172846,172132,172686,425676
20260420,173430,173550,172701,173350,702239
20260421,173550,173875,173355,173630,590605
20260422,174439,174753,173989,174289,563189
20260423,176411,176411,175263,176027,847870
20260424,176756,177165,176386,176960,464042
20260427,178219,178833,177889,178034,564686
20260428,178384,178668,177520,177704,471718
20260429,176875,177865,176700,177705,315773
20260430,180500,180720,177675,177990,905114
20260504,180515,181435,180055,180055,769339
20260506,183040,183190,181310,181835,1228458
20260507,183180,184085,182905,184085,1581176
20260508,184330,186940,184330,186940,678156
20260511,189435,191100,189435,190635,959151
20260512,191405,192420,191260,192205,850403
20260513,191700,193345,191465,192870,1080616
20260514,194730,195455,194440,194920,808593
20260515,195660,196500,194260,194300,1242459
20260518,193045,193315,191595,192025,754615
20260519,192040,193000,191920,192740,1001833
20260520,192705,193220,192065,192925,1642481
20260521,193220,195555,193090,195250,875651
20260522,196185,198235,196155,197990,822516
20260526,199850,199850,198055,198200,999626
20260527,200100,200460,199190,199485,843712
20260528,199485,200295,198270,198750,1373330
20260529,200000,201945,199985,201945,489567
20260601,203130,204980,202815,203170,995029
20260602,203660,204600,202615,204345,1328871
20260604,205560,206405,204650,206240,704735
20260605,205240,206675,204725,205500,689033
20260608,199705,200820,197045,197840,1206762
20260609,198890,199375,197245,198335,1143562
20260610,196400,196490,194625,195425,3198014
20260611,191670,194565,191000,194530,2557622
20260612,198660,199400,197820,197890,1160473
20260615,200825,202350,200395,202295,1401272
20260616,204880,205220,203890,204385,2349561
20260617,201105,202365,200845,202170,1909541
20260618,202575,203285,201780,203160,3475919
20260619,206610,206915,204275,204330,2533077
20260622,204095,207085,203885,207085,1594772
20260623,206690,206815,202735,202790,2232326
20260624,200295,202060,199720,201690,1713965
20260625,203640,204420,203180,203730,1882283
20260626,201850,202325,197335,197725,3649826
